topic,class,count,avg_lat_ms,p95_lat_ms,p99_lat_ms,jitter_std_ms,ipdv_std_ms,deadline_missrate_1ms,deadline_missrate_2ms,loss_rate
/planning/auto_mode_status/intersection,Best-Effort,5941,1.608,4.436,6.44,1.504,1.95,,,0.0
/planning/auto_mode_status/intersection_occlusion,Best-Effort,5935,1.775,4.542,6.398,1.515,1.983,,,0.0
/planning/auto_mode_status/lane_change_left,Best-Effort,5943,2.086,4.754,6.252,1.54,2.073,,,0.0
/planning/auto_mode_status/lane_change_right,Best-Effort,5947,2.059,4.727,6.339,1.546,2.073,,,0.0
/planning/auto_mode_status/no_stopping_area,Best-Effort,5953,1.767,4.479,6.363,1.521,2.01,,,0.0
/planning/auto_mode_status/start_planner,Best-Effort,5951,1.879,4.627,6.465,1.522,2.032,,,0.0
/planning/auto_mode_status/static_obstacle_avoidance_left,Best-Effort,5951,1.418,4.05,6.028,1.401,1.902,,,0.0
/planning/auto_mode_status/static_obstacle_avoidance_right,Best-Effort,5953,1.589,4.362,6.311,1.465,1.982,,,0.0
/planning/auto_mode_status/traffic_light,Best-Effort,5931,1.544,4.307,6.336,1.468,1.921,,,0.0
/planning/cooperate_status/avoidance_by_lane_change_left,Best-Effort,5955,0.247,1.148,2.984,0.568,0.792,,,0.0
/planning/cooperate_status/avoidance_by_lane_change_right,Best-Effort,5935,0.277,1.232,3.098,0.604,0.845,,,0.0
/planning/cooperate_status/blind_spot,Best-Effort,5947,3.088,9.116,12.306,2.495,2.784,,,0.0
/planning/cooperate_status/crosswalk,Best-Effort,5953,0.591,2.267,9.258,1.446,1.704,,,0.0
/planning/cooperate_status/goal_planner,Best-Effort,5957,0.225,0.974,2.133,0.412,0.559,,,0.0
/planning/cooperate_status/intersection,Best-Effort,5937,3.062,9.129,12.452,2.511,2.834,,,0.0
/planning/cooperate_status/intersection_occlusion,Best-Effort,5941,3.063,9.145,12.494,2.508,2.836,,,0.0
/planning/cooperate_status/lane_change_left,Best-Effort,5953,0.234,1.047,2.438,0.5,0.687,,,0.0
/planning/cooperate_status/lane_change_right,Best-Effort,5943,0.274,1.187,2.491,0.529,0.734,,,0.0
